SK_ID_CURR, y_test_pred
100001,0.15185178327394555
100005,0.08907973069421891
100013,0.04090826883071156
100028,0.0566497676741422
100042,0.040137403569264145
100057,0.1409266292039163
100065,0.08162751678107086
100066,0.1670978366193707
100067,0.10652734793622445
100074,0.09499404792937198
100090,0.10874428019265181
100091,0.09855396711959821
100092,0.06962152857707217
100106,0.14188473170807037
100107,0.1161392995635003
100109,0.023700548975745382
100117,0.12862434743966536
100128,0.03014362497752878
100150,0.14241019195167848
100168,0.10366759133957051
100169,0.046756677875728875
100170,0.07153370485408296
100171,0.070952022374587
100172,0.04198255990727771
100184,0.1134235051498017
100187,0.13293855354066053
100212,0.05926665807167712
100222,0.06632477418847571
100223,0.06451219725411997
100232,0.07435033208896087
100241,0.03674383264711704
100245,0.1374241556125898
100253,0.006142280472593242
100256,0.14036883635649006
100271,0.039042755390001356
100278,0.09967419645078006
100280,0.15475457586349298
100306,-0.018545024735338908
100311,0.08593152457696378
100312,0.14649554251642305
100330,0.08478213663885975
100352,0.17064512315524527
100358,0.1397025852549807
100367,0.08145792496759495
100382,0.08888467010868188
100385,0.029304931910088768
100386,0.0530967451197259
100399,0.10385850630394534
100404,0.07798546085769453
100416,0.0857603403341785
100422,0.07898436081640375
100426,0.02019618319089099
100438,0.10122332385612402
100444,0.09259854079102377
100446,0.028824876313217992
100447,0.05511110712938477
100450,0.10424591836163101
100466,0.05075194896916767
100483,0.058195326470809786
100484,0.08163511558431845
100494,0.12129531822756909
100510,0.019977583802385873
100517,0.20424238406984935
100548,-0.005114592340445895
100551,0.06399827549124101
100552,0.1796067548382145
100553,0.1273087765654271
100561,0.1122935887690413
100568,0.15170671409393938
100592,0.11451907699955574
100607,0.07083862353517806
100617,0.1559686990390607
100618,0.18837349983830165
100622,0.13431104606788447
100677,0.12072564193845682
100699,0.021159196983345792
100702,0.038759582894789424
100711,0.14573852490133005
100729,0.05876784134776751
100745,0.004238718533681157
100747,0.02874463784935271
100751,0.03897926810943645
100753,0.05048541302288155
100754,0.11227573960428333
100760,0.06515362341523899
100762,0.12283616821474252
100763,0.04714145876581341
100765,0.10108690559346514
100770,0.020257474921179484
100772,0.15272770403953906
100777,0.046304959321536
100791,0.10629714410842225
100792,0.13442428392220335
100797,0.11049395553680957
100823,0.0647915508919
100826,0.10339911790004075
100830,0.058893607755248475
100836,0.1199571159277344
100872,0.01025314257624639
100913,0.14000641569043634
100931,0.02066861457968027
100952,0.09067620028350272
100953,0.06101119474370152
100965,0.09532819672183565
100970,0.18160945626816077
100982,0.12047266666768486
100983,0.05086852092030969
100984,0.11016218618660241
100987,0.08179413551837579
100997,0.003983753546821969
100998,0.11025889195276783
101002,0.11293270919906542
101021,0.1198248089562686
101024,0.038720307591527094
101025,0.038875133920682085
101026,0.1576033696261363
101031,0.06157484455663222
101041,0.03154553133498993
101051,0.10652339829478479
101055,0.07798412263860456
101056,0.1523452884658436
101057,0.11549337698209625
101064,0.018648466232804327
101079,0.03756161521844914
101087,0.13817772903275483
101090,0.09949972832897379
101092,0.02510298613151326
101097,0.061896835438921355
101099,0.13287475364092147
101107,0.07813665577321434
101118,0.0006196649833440648
101125,0.086482256135801
101126,0.0408275903046221
101128,0.09440171520201596
101140,0.1652746768804046
101181,0.03667619512070186
101186,0.1525365004469016
101190,0.06584201508774631
101194,0.05113865807321315
101198,0.0063198124064281075
101200,0.006642755589626209
101204,0.08874893725423923
101211,0.14332911406846532
101213,0.024257309977805716
101237,0.1137103792186793
101243,-0.000791417066935432
101258,0.12206152116944313
101259,0.06313336679552964
101268,0.03895482941203609
101269,0.186793940821748
101271,0.14787035166407442
101294,0.11118515530234649
101296,0.11406612516770145
101297,0.0748852065898298
101299,0.15492539146524886
101301,0.12091072938645314
101305,0.1731757484483218
101308,0.016579515085154636
